# time,x(N),y(E),z(D),psi,xd(N),yd(E),zd(D),psid,xdd(N),ydd(E),zdd(D),psidd
1.700000000000000178e+00,-2.817740098525423065e-03,9.189820801470170719e-02,-1.500000000000000000e+00,0.000000000000000000e+00,-1.441901241272372687e-02,2.349108873393432606e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.383615386513910583e-02,4.372590615834738292e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000000e+00,-3.623589368810797851e-03,1.041999889948096447e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-1.792074581246325474e-02,2.573530146536141539e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.653349594465769234e-02,4.603761587281435808e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000044e+00,-4.621165696165663306e-03,1.176526324231884219e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-2.210382820567173209e-02,2.809422634672388286e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.111890843341483026e-02,4.831184078253880076e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.850000000000000089e+00,-5.846968857118328700e-03,1.323129605387886321e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-2.706700189752913113e-02,3.056559445458655877e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.077662641707920615e-01,5.053254871293313411e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000133e+00,-7.342653661374320961e-03,1.482364544278221563e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-3.291773282337807222e-02,3.314629718666919911e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.266502602757468843e-01,5.268215761419650089e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.950000000000000178e+00,-9.155466191787864361e-03,1.654768141286699912e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-3.977219276973145007e-02,3.583230466487903332e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.479440037783987527e-01,5.474137071245985808e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,-1.133867599916671409e-02,1.840854758640294297e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-4.775511254924316024e-02,3.861857582282864909e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.718162615953479078e-01,5.668900946619880310e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.050000000000000266e+00,-1.395199737384422711e-02,2.041110822341918318e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-5.699948897920065899e-02,4.149896018436938783e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.984283604756470476e-01,5.850184912053626451e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000089e+00,-1.706199194139434994e-02,2.255989012720915621e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-6.764612785224387304e-02,4.446609160081671508e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.279307250238065130e-01,6.015446251657841081e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.149999999999999911e+00,-2.074244392580659735e-02,2.485901904689810094e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-7.984300457816330410e-02,4.751127451935879820e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.604590455051541409e-01,6.161907869209712896e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000178e+00,-2.507469849891852398e-02,2.731215022511842005e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-9.374442387853657022e-02,5.062436370386369511e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.961300720891780203e-01,6.286546368338801205e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000000e+00,-3.014795270236159119e-02,2.992239279451777145e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-1.095099599049622618e-01,5.379363872105908939e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.350370387169058217e-01,6.386083178148200812e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000266e+00,-3.605948750406495762e-02,3.269222780312451282e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-1.273031585111729924e-01,5.700567493763345484e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.772447281027038746e-01,6.456979627997486704e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.350000000000000089e+00,-4.291482865634232979e-02,3.562341974746727757e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-1.472899842338296905e-01,6.024521324340648132e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.227841996842832684e-01,6.495436944255258416e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000355e+00,-5.082782318255274490e-02,3.871692161551339995e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-1.696369959290301987e-01,6.349503121672327444e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.716472147582552732e-01,6.497402197679320590e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.450000000000000178e+00,-5.992061756531952277e-02,4.197277359033467770e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-1.945092370797767978e-01,6.673581897294206255e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.237804076620160565e-01,6.458581268297203248e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+00,-7.032352307793954260e-02,4.538999574088161681e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-2.220678296442371857e-01,6.994606347529361834e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.790792686863108774e-01,6.374459910371116367e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.550000000000000266e+00,-8.217475323385459163e-02,4.896647522872348279e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-2.524672640635720056e-01,7.310194562694055653e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.373820233280744763e-01,6.240333987977659813e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000089e+00,-9.562001807427722433e-02,5.269884878878348111e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-2.858523827916251703e-01,7.617725498849449162e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.984635133041119381e-01,6.051349906372522902e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.650000000000000355e+00,-1.108119600231045609e-01,5.658238149681856788e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-3.223550605329660312e-01,7.914332745849580464e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.620292070912428883e-01,5.802556179987052865e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,-1.279094163669556306e-01,6.061084311453944773e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-3.620905913454031677e-01,8.196901169453786329e-01,0.000000000000000000e+00,0.000000000000000000e+00,-8.277094911344657913e-01,5.488966949062294987e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000000e+00,-1.470764941247932889e-01,6.477638360161359632e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-4.051538009137857221e-01,8.462067041626110120e-01,0.000000000000000000e+00,0.000000000000000000e+00,-8.950544166043981065e-01,5.105638078391201429e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000266e+00,-1.684814442153175218e-01,6.906940969785924089e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-4.516149116315038570e-01,8.706222299233650208e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.635290998496772730e-01,4.647756238948189123e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.850000000000000089e+00,-1.922953234691058277e-01,7.347846480290871618e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-5.015151985863931516e-01,8.925523584384750242e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.032509996468071289e+00,4.110741082971068328e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000355e+00,-2.186904352205225610e-01,7.799011470722595485e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-5.548624860355351185e-01,9.115906716685201472e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.101282288035073886e+00,3.490360273489232501e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.950000000000000178e+00,-2.478385419992230609e-01,8.258884204887294578e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-6.116265463031475003e-01,9.273107225764527506e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.169038635657054126e+00,2.782856720519101823e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,-2.799088472601827249e-01,8.725695267461632820e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-6.717344760123323821e-01,9.392687528628129723e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.234879564215186409e+00,1.985086910793667503e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.050000000000000266e+00,-3.150657471684925603e-01,9.197449736022684785e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-7.350661378557062919e-01,9.470071268021386102e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.297815743917936748e+00,1.094668701497679697e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000089e+00,-3.534663581972590229e-01,9.671921258025957258e-01,-1.500000000000000000e+00,0.000000000000000000e+00,-8.014497693359843300e-01,9.500585232703790961e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.356772430044715039e+00,1.101363899182539186e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.150000000000000355e+00,-3.952578316891612875e-01,1.014664841982743759e+00,-1.500000000000000000e+00,0.000000000000000000e+00,-8.706578726034751581e-01,9.479509156514394075e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.410596306051361548e+00,-9.688997172727797924e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000178e+00,-4.405744725350024815e-01,1.061893380596899750e+00,-1.500000000000000000e+00,0.000000000000000000e+00,-9.424035111495430161e-01,9.402133539275450147e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.458064948160451957e+00,-2.141592612807576845e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000000e+00,-4.895346856680797831e-01,1.108584614962743409e+00,-1.500000000000000000e+00,0.000000000000000000e+00,-1.016337149087304104e+00,9.263825448761293657e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.497899090042689174e+00,-3.405700747716834398e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000266e+00,-5.422377810624331440e-01,1.154422596788450051e+00,-1.500000000000000000e+00,0.000000000000000000e+00,-1.092044176417749313e+00,9.060102050093339354e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.528777813403105590e+00,-4.757437575540970354e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.350000000000000089e+00,-5.987606752239384988e-01,1.199069505690637083e+00,-1.500000000000000000e+00,0.000000000000000000e+00,-1.169043268366119603e+00,8.786711369241592129e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.549356723844144801e+00,-6.191333521684296848e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000355e+00,-6.591545346097726910e-01,1.242167019097146996e+00,-1.500000000000000000e+00,0.000000000000000000e+00,-1.246785727898870766e+00,8.439719534487415409e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.558289091451496633e+00,-7.700115833711003166e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.450000000000000178e+00,-7.234414138042352116e-01,1.283338132452096714e+00,-1.500000000000000000e+00,0.000000000000000000e+00,-1.324655957238788595e+00,8.015603458954714267e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.554249842936575643e+00,-9.274612063932342609e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+00,-7.916109483861949458e-01,1.322189453729568198e+00,-1.500000000000000000e+00,0.000000000000000000e+00,-1.401973195985364962e+00,7.511347635474172613e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.535962188386668981e+00,-1.090368307853577967e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.550000000000000266e+00,-8.636171689864182710e-01,1.358313988881487910e+00,-1.500000000000000000e+00,0.000000000000000000e+00,-1.477994649814626804e+00,6.924543420527371484e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.502226553007817600e+00,-1.257419144661758192e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000089e+00,-9.393755087708091089e-01,1.391294426005513341e+00,-1.500000000000000000e+00,0.000000000000000000e+00,-1.551920114306952758e+00,6.253488896736478786e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.451951365782716774e+00,-1.427101080952103640e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.650000000000000355e+00,-1.018760081202763068e+00,1.420706915783839230e+00,-1.500000000000000000e+00,0.000000000000000000e+00,-1.622898173036809499e+00,5.497287134535552289e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.384185136577078978e+00,-1.597708134237153299e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000000178e+00,-1.101601308134335877e+00,1.446125334236188387e+00,-1.500000000000000000e+00,0.000000000000000000e+00,-1.690034017670395405e+00,4.655940435508546527e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.298149135506173169e+00,-1.767351567899123399e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e+00,-1.187683979758678676e+00,1.467126001235280031e+00,-1.500000000000000000e+00,0.000000000000000000e+00,-1.752398900717202057e+00,3.730437945251118270e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.193269878522072558e+00,-1.933975867066422216e+00,0.000000000000000000e+00,0.000000000000000000e+00
